member,dt,model,order,med_raw,mean_raw,med_flo,mean_flo
FRC-combo,1p5em2,zero,Nddot,0.29764646282006957,0.3213476737370624,0.29764646282006957,0.3213476737370624
FRC-combo,1p5em2,zero,N3dot,0.41834216639907973,0.5443938768608818,0.41834216639907973,0.5443938768608818
FRC-combo,5em3,best,Ndot,1.0045566706399716,1.0811788132330573,1.0045566706399716,1.0811788132330573
FRC-combo,5em3,best,Nddot,0.13088452448487858,0.1386461495094056,0.13088452448487858,0.1386461495094056
FRC-combo,5em3,best,N3dot,0.5604364839068796,0.5603080551324994,0.5604364839068796,0.5603080551324994
FRC-combo,5em3,zero,Ndot,0.21445754103526654,0.21081369904494016,0.21445754103526654,0.21081369904494016
FRC-combo,5em3,zero,Nddot,0.2644928232069594,0.26489449671192816,0.2644928232069594,0.26489449671192816
FRC-combo,5em3,zero,N3dot,0.3161789931706704,0.31509613050120294,0.3161789931706704,0.31509613050120294
FRC-kf4,1em2,best,Ndot,0.13522468923782643,0.14232555201603117,0.13522468923782643,0.14232555201603117
FRC-kf4,1em2,best,Nddot,0.088592099718965,0.09081327276446723,0.088592099718965,0.09005681121803778
FRC-kf4,1em2,best,N3dot,0.5217090658143,0.5226550623266549,0.5217090658143,0.516252164704289
FRC-kf4,1em2,zero,Ndot,0.12821510999033572,0.12958783459853107,0.12821510999033572,0.12958783459853107
FRC-kf4,1em2,zero,Nddot,0.20088940581895748,0.2002481342977497,0.20088940581895748,0.19896209699117273
FRC-kf4,1em2,zero,N3dot,0.2665775552302282,0.26773356455771463,0.2643674277292416,0.26238989893020803
FRC-kf4,1p5em2,best,Ndot,0.10980350683218246,0.11307710318874559,0.10980350683218246,0.11307710318874559
FRC-kf4,1p5em2,best,Nddot,0.09358956454643495,0.09686977042528493,0.09358956454643495,0.0961159185748784
FRC-kf4,1p5em2,best,N3dot,0.5251051821008447,0.5248370565908426,0.5251051821008447,0.518777315670746
FRC-kf4,1p5em2,zero,Ndot,0.12821135066143902,0.12966458030336994,0.12821135066143902,0.12966458030336994
FRC-kf4,1p5em2,zero,Nddot,0.21034006050689436,0.2104597482872607,0.21034006050689436,0.2091840945837263
FRC-kf4,1p5em2,zero,N3dot,0.2915562047653377,0.2969066176399732,0.2915562047653377,0.2939364453079263
FRC-kf4,5em3,best,Ndot,0.7144913019496266,0.7447527169868701,0.7144913019496266,0.7447527169868701
FRC-kf4,5em3,best,Nddot,0.08884998171978656,0.09105157531402235,0.08861289685642695,0.0901529041576488
FRC-kf4,5em3,best,N3dot,0.5218562451697304,0.5411678758520919,0.5208103870380418,0.5220333277465895
FRC-kf4,5em3,zero,Ndot,0.12824118585037408,0.12961039613399525,0.12824118585037408,0.12961039613399525
FRC-kf4,5em3,zero,Nddot,0.20051971851132774,0.19987203341283388,0.20051971851132774,0.19837424007307405
FRC-kf4,5em3,zero,N3dot,0.32341066825809084,0.3769888543529378,0.32341066825809084,0.3396280475148666
FRC-Re25k,1em2,best,Ndot,1.2613413319893034,1.582334769720169,1.2613413319893034,1.582334769720169
FRC-Re25k,1em2,best,Nddot,0.23116180117362545,0.239024101311087,0.23116180117362545,0.239024101311087
FRC-Re25k,1em2,best,N3dot,0.5738107702870037,0.6186717190838807,0.5738107702870037,0.6186717190838807
FRC-Re25k,1em2,zero,Ndot,0.21774949866184362,0.2187471300593925,0.21774949866184362,0.2187471300593925
FRC-Re25k,1em2,zero,Nddot,0.430346649859465,0.43065860928355004,0.430346649859465,0.43065860928355004
FRC-Re25k,1em2,zero,N3dot,0.8582231116070571,0.9174183623798698,0.8582231116070571,0.9174183623798698
